DD,1,3,1,0.75,0.75,337.393760681152,8/4/2021 9:05:00 PM,8/4/2021 9:05:02 PM
DD,1,1,1,0.25,0.75,223.924040794373,8/4/2021 9:06:09 PM,8/4/2021 9:06:12 PM
DD,1,2,1,0.5,0.75,352.544784545898,8/4/2021 9:06:12 PM,8/4/2021 9:06:15 PM
DD,1,3,1,0.75,0.75,286.677360534668,8/4/2021 9:06:15 PM,8/4/2021 9:06:18 PM
DD,1,4,1,1,1,267.40837097168,8/4/2021 9:06:18 PM,8/4/2021 9:06:26 PM
DD,1,1,1,0.25,1,478.517532348633,8/4/2021 9:06:56 PM,8/4/2021 9:06:59 PM
DD,1,2,1,0.5,1,343.024253845215,8/4/2021 9:06:59 PM,8/4/2021 9:07:02 PM
DD,1,3,1,0.75,1,456.78186416626,8/4/2021 9:07:02 PM,8/4/2021 9:07:05 PM
DD,1,4,1,1,1,395.526885986328,8/4/2021 9:07:05 PM,8/4/2021 9:07:09 PM
DD,1,1,1,0.25,1,526.812791824341,8/4/2021 9:10:05 PM,8/4/2021 9:10:08 PM
DD,1,2,1,0.5,1,288.959503173828,8/4/2021 9:10:08 PM,8/4/2021 9:10:11 PM
DD,1,3,1,0.75,1,302.03914642334,8/4/2021 9:10:11 PM,8/4/2021 9:10:13 PM
DD,1,4,1,1,1,171.27799987793,8/4/2021 9:10:13 PM,8/4/2021 9:10:18 PM
DD,2,1,1,1.25,1.25,1230.79490661621,8/4/2021 9:10:18 PM,8/4/2021 9:10:23 PM
DD,1,1,1,0.25,1.25,307.669639587402,8/4/2021 9:16:19 PM,8/4/2021 9:16:22 PM
DD,1,2,1,0.5,1.25,247.495651245117,8/4/2021 9:16:22 PM,8/4/2021 9:16:25 PM
DD,1,3,1,0.75,1.25,334.775924682617,8/4/2021 9:16:25 PM,8/4/2021 9:16:28 PM
DD,1,4,1,1,1.25,304.152488708496,8/4/2021 9:16:28 PM,8/4/2021 9:16:33 PM
